gdp,latitude,longitude,population,country,date,fatalities
36833,41.8719,12.5674,60589445,Italy,2015-05,0
36833,41.8719,12.5674,60589445,Italy,2015-05,0
36833,41.8719,12.5674,60589445,Italy,2015-05,0
36833,41.8719,12.5674,60589445,Italy,2015-05,0
36833,41.8719,12.5674,60589445,Italy,2015-06,0
36833,41.8719,12.5674,60589445,Italy,2015-06,0
36833,41.8719,12.5674,60589445,Italy,2015-06,0
36833,41.8719,12.5674,60589445,Italy,2015-06,0
36833,41.8719,12.5674,60589445,Italy,2015-07,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-03,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,0
915,6.4281,-9.4295,4503000,Liberia,2014-04,6
915,6.4281,-9.4295,4503000,Liberia,2014-04,6
915,6.4281,-9.4295,4503000,Liberia,2014-04,6
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-05,11
915,6.4281,-9.4295,4503000,Liberia,2014-06,11
915,6.4281,-9.4295,4503000,Liberia,2014-06,11
915,6.4281,-9.4295,4503000,Liberia,2014-06,11
915,6.4281,-9.4295,4503000,Liberia,2014-06,24
915,6.4281,-9.4295,4503000,Liberia,2014-06,25
915,6.4281,-9.4295,4503000,Liberia,2014-06,34
915,6.4281,-9.4295,4503000,Liberia,2014-06,65
915,6.4281,-9.4295,4503000,Liberia,2014-07,75
915,6.4281,-9.4295,4503000,Liberia,2014-07,84
915,6.4281,-9.4295,4503000,Liberia,2014-07,88
915,6.4281,-9.4295,4503000,Liberia,2014-07,105
915,6.4281,-9.4295,4503000,Liberia,2014-07,106
915,6.4281,-9.4295,4503000,Liberia,2014-07,116
915,6.4281,-9.4295,4503000,Liberia,2014-07,127
915,6.4281,-9.4295,4503000,Liberia,2014-07,129
915,6.4281,-9.4295,4503000,Liberia,2014-07,156
915,6.4281,-9.4295,4503000,Liberia,2014-08,255
915,6.4281,-9.4295,4503000,Liberia,2014-08,282
915,6.4281,-9.4295,4503000,Liberia,2014-08,294
915,6.4281,-9.4295,4503000,Liberia,2014-08,323
915,6.4281,-9.4295,4503000,Liberia,2014-08,355
915,6.4281,-9.4295,4503000,Liberia,2014-08,413
915,6.4281,-9.4295,4503000,Liberia,2014-08,481
915,6.4281,-9.4295,4503000,Liberia,2014-08,576
915,6.4281,-9.4295,4503000,Liberia,2014-08,624
915,6.4281,-9.4295,4503000,Liberia,2014-08,694
915,6.4281,-9.4295,4503000,Liberia,2014-08,871
915,6.4281,-9.4295,4503000,Liberia,2014-09,1089
915,6.4281,-9.4295,4503000,Liberia,2014-09,1224
915,6.4281,-9.4295,4503000,Liberia,2014-09,1137
915,6.4281,-9.4295,4503000,Liberia,2014-09,1296
915,6.4281,-9.4295,4503000,Liberia,2014-09,1459
915,6.4281,-9.4295,4503000,Liberia,2014-09,1578
915,6.4281,-9.4295,4503000,Liberia,2014-09,1677
915,6.4281,-9.4295,4503000,Liberia,2014-09,1830
915,6.4281,-9.4295,4503000,Liberia,2014-09,1998
915,6.4281,-9.4295,4503000,Liberia,2014-10,2069
915,6.4281,-9.4295,4503000,Liberia,2014-10,2210
915,6.4281,-9.4295,4503000,Liberia,2014-10,2316
915,6.4281,-9.4295,4503000,Liberia,2014-10,2458
915,6.4281,-9.4295,4503000,Liberia,2014-10,2484
915,6.4281,-9.4295,4503000,Liberia,2014-10,2705
915,6.4281,-9.4295,4503000,Liberia,2014-10,2737
915,6.4281,-9.4295,4503000,Liberia,2014-10,2413
915,6.4281,-9.4295,4503000,Liberia,2014-10,2609
915,6.4281,-9.4295,4503000,Liberia,2014-11,2697
915,6.4281,-9.4295,4503000,Liberia,2014-11,2766
915,6.4281,-9.4295,4503000,Liberia,2014-11,2836
915,6.4281,-9.4295,4503000,Liberia,2014-11,2812
